GeoType,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose
CBSA,"Birmingham-Hoover, AL",775770,62.097,16.663,50.4,38.614,40.148,30.164,53.237,6.815,52.451,47.726,63.073,23.379,61.616,23.241,55.34,27.694,53.09,33.77,36.628,49.443,44.977,55.022,81.157,15.885,74.158,22.763,64.961,33.529,62.11,33.897,59.442,38.886,79.35,18.043,35.203,61.099,59.669,37.225,75.004,24.866,62.634,13.517,59.675,14.6,56.108,19.402,53.637,15.561,54.566,15.321,68.146,28.623,29.37,70.493,17.913,80.47
CBSA,"Bismarck, ND",85083,60.602,21.062,47.642,40.071,38.203,35.884,50.832,8.002,49.317,50.834,64.852,26.411,64.679,26.194,53.297,35.289,49.78,40.852,31.686,59.564,39.719,60.28,83.24,14.164,71.922,25.119,58.067,40.766,57.396,39.466,55.629,40.576,78.801,18.076,40.888,56.766,59.702,38.247,71.804,28.053,60.629,14.163,56.153,15.155,50.552,20.958,44.635,19.048,48.293,18.78,66.454,31.738,30.374,69.511,22.686,76.777
CBSA,"Blackfoot, ID",27068,59.864,22.905,48.001,38.625,41.108,34.945,52.061,7.57,50.946,48.884,63.126,26.389,61.235,25.613,54.511,32.378,51.541,37.849,35.093,55.265,42.098,57.902,81.964,15.369,70.726,26.98,61.438,36.948,57.211,39.449,55.235,41.536,77.804,18.926,36.671,58.66,53.377,42.981,72.048,27.841,62.328,14.153,58.165,15.31,51.677,23.378,45.929,20.726,49.498,19.458,64.545,32.485,33.959,65.753,22.395,76.862
CBSA,"Blacksburg-Christiansburg-Radford, VA",110255,67.668,15.945,53.851,32.506,47.207,30.65,58.996,6.515,56.415,43.371,69.273,21.289,68.237,20.22,58.568,28.458,53.996,34.878,36.716,52.759,46.753,53.247,84.686,12.651,76.207,20.932,66.736,32.276,65.238,31.383,61.655,35.598,81.253,16.265,35.611,61.955,51.611,46.222,76.879,22.778,66.225,13.289,62.527,13.579,59.483,18.77,53.848,17.024,53.262,16.759,67.044,29.95,34.56,65.346,22.526,76.709
CBSA,"Bloomington, IL",115820,69.754,15.009,57.389,31.611,47.677,30.168,60.756,6.092,57.839,42.231,70.457,20.846,70.38,19.834,60.182,27.93,55.75,34.668,36.831,54.125,46.836,53.163,86.326,11.312,78.364,18.973,70.626,27.709,67.473,29.757,64.552,32.253,83.334,13.891,31.887,65.43,49.23,48.11,77.049,22.728,70.718,10.408,66.358,11.569,62.585,14.921,54.516,13.424,54.017,14.363,67.926,30.256,34.574,65.251,23.424,75.235
CBSA,"Bloomington, IN",95636,72.231,12.77,62.761,26.912,56.231,26.096,65.297,5.241,62.839,37.278,73.025,18.363,72.554,17.614,64.22,24.695,59.592,31.376,40.208,51.506,52.803,47.197,87.223,10.391,80.36,17.132,74.56,24.29,70.434,26.653,66.734,30.201,84.248,13.193,26.978,70.871,45.43,52.79,81.386,18.506,72.306,9.398,67.895,9.754,65.862,13.956,59.043,11.907,57.998,13.512,70.283,26.558,39.684,60.036,25.993,72.68
CBSA,"Bloomsburg-Berwick, PA",57087,62.615,18.225,50.036,36.432,39.496,34.113,53.807,6.247,53.644,46.62,64.707,25.258,65.535,24.386,55.023,31.96,52.245,37.18,33.342,55.876,41.309,58.689,83.008,14.49,77.403,20.04,59.001,39.59,60.73,34.628,58.372,39.121,80.335,17.034,36.6,61.496,59.868,37.725,74.024,25.911,67.488,11.968,59.979,12.945,55.55,17.955,50.744,17.445,51.068,16.513,67.723,29.229,28.458,71.556,16.103,82.779
CBSA,"Bluefield, WV-VA",74710,58.169,21.179,45.361,39.917,35.009,38.007,49.876,7.976,47.05,52.693,60.005,28.126,58.711,27.702,49.578,34.575,46.946,39.866,32.282,55.392,39.316,60.683,80.713,16.505,71.518,25.412,56.662,41.744,57.964,38.426,54.503,43.473,77.28,19.573,41.455,54.26,60.396,37.257,70.22,29.477,57.912,17.217,54.314,18.113,49.036,25.523,45.942,21.703,47.624,20.672,61.549,34.911,27.268,72.614,18.457,80.916
CBSA,"Blytheville, AR",28100,68.466,13.004,53.214,33.612,44.673,26.466,56.402,5.943,58.039,41.772,68.196,17.399,68.32,16.53,60.117,23.505,56.039,28.722,38.947,44.925,50.541,49.456,81.292,16.214,75.562,22.107,70.406,28.238,66.698,29.875,63.541,34.068,79.712,17.231,30.149,65.726,50.975,45.897,78.135,21.402,66.121,11.295,61.609,12.694,61.947,15.801,57.423,13.961,57.655,14.352,66.164,28.872,30.683,69.374,17.367,81.359
CBSA,"Bogalusa, LA",31312,63.295,15.962,48.505,37.644,39.276,29.529,53.028,6.844,53.13,46.235,61.909,23.486,61.05,22.889,54.596,27.335,52.951,32.02,37.72,47.627,46.42,53.577,79.513,17.316,71.557,25.323,62.404,36.207,63.021,33.815,56.949,39.707,77.05,19.184,36.165,59.964,59.964,36.893,75.319,24.234,61.139,13.991,58.607,14.844,54.822,19.005,51.003,16.626,52.277,16.198,63.445,32.668,27.791,72.135,17.664,81.193
CBSA,"Boise City, ID",429091,65.505,18.787,52.379,35.769,46.773,34.321,56.968,6.781,53.931,46.071,67.323,23.292,65.082,23.988,57.557,31.115,53.518,37.792,34.503,57.791,45.09,54.91,84.313,13.002,74.527,22.893,66.05,31.901,61.443,34.347,60.337,36.793,81.357,15.524,34.485,62.208,48.571,47.756,76.534,23.284,64.511,12.485,60.567,13.322,55.452,20.764,50.772,18.027,52.686,17.297,67.402,29.709,36.872,62.84,25.496,73.424
CBSA,"Bonham, TX",23710,58.313,22.45,47.102,38.84,37.925,34.627,48.33,8.3,48.996,51.13,60.295,29.085,60.983,28.245,52.838,34.125,49.54,39.439,33.096,54.812,40.561,59.435,79.253,18.444,70.337,27.516,58.811,40.181,57.318,39.739,55.542,41.4,75.563,22.623,39.57,57.389,61.497,36.841,70.358,29.814,59.283,16.052,56.322,16.925,52.256,23.602,48.136,20.093,49.186,19.785,60.628,35.479,29.19,70.814,19.941,79.237
CBSA,"Boone, IA",18380,64.962,18.172,52.312,34.347,44.489,32.524,57.1,6.801,54.576,45.397,67.742,24.173,68.575,22.122,57.709,30.571,52.606,37.024,34.608,55.686,44.26,55.734,84.162,13.156,75.044,21.382,65.005,33.678,63.03,33.509,60.675,35.381,80.925,15.854,37.818,59.728,52.797,44.44,75.925,23.732,65.277,12.546,61.099,13.188,57.051,18.39,50,16.371,52.111,16.697,68.868,29.053,31.959,67.943,23.39,75.696
CBSA,"Boone, NC",29439,71.898,13.397,59.35,27.858,55.732,26.709,60.501,5.564,61.3,37.885,72.309,18.574,71.657,18.346,62.397,26.149,57.366,32.949,37.824,53.059,50.627,49.373,86.144,10.962,78.056,19.117,74.456,23.948,67.791,28.785,65.753,31.434,82.612,14.871,30.453,67.682,47.417,50.807,80.4,19.461,69.904,11.25,66.48,11.278,63.188,16.302,58.361,14.708,56.449,15.15,69.734,27.759,39.893,59.982,25.48,73.715
